ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Random_notes
45806498,$8311,1273,KIA,Sportage,2020,Sedan,Yes,Petrol,2.4,17466KM,4.0,Automatic,Front,04-May,Left wheel,Black,12,
45797469,$18346,730,HYUNDAI,Elantra,2016,Sedan,Yes,LPG,1.6,33553KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45757369,$941,,HONDA,Civic,2011,Sedan,Yes,Petrol,1.8,,4.0,Automatic,Front,04-May,Left wheel,,12,
45789785,$6272,-,VOLKSWAGEN,Golf,2001,Universal,No,Petrol,2,256000KM,4.0,Manual,Front,04-May,Left wheel,Black,4,
45709410,$2822,,MERCEDES-BENZ,A 190,1987,Sedan,No,Petrol,2,,4.0,Manual,Rear,04-May,Left wheel,,0,
45815372,$7840,-,MERCEDES-BENZ,E 200,1998,Sedan,No,CNG,2,180003KM,4.0,Manual,Rear,04-May,Left wheel,Black,4,
45814846,$314,862,TOYOTA,Camry,2011,Sedan,Yes,Petrol,2.5,211810KM,4.0,Automatic,Front,04-May,Left wheel,Red,12,
45795737,$47042,-,TOYOTA,Highlander XLE,2014,Jeep,Yes,Petrol,3.5,130000KM,6.0,Tiptronic,4x4,04-May,Left wheel,White,12,
45813959,$549,1053,MERCEDES-BENZ,E 350,2014,Coupe,Yes,Petrol,3.5,103427KM,6.0,Automatic,Rear,02-Mar,Left wheel,Black,12,
45802253,$36567,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,106533KM,4.0,Automatic,Front,04-May,Left wheel,White,4,
45776999,$15681,584,HYUNDAI,Elantra,2014,Sedan,No,Petrol,1.8,73688KM,4.0,Automatic,Front,04-May,Left wheel,Silver,0,
45811602,$862,1360,MERCEDES-BENZ,GL 450,2013,Jeep,Yes,Petrol,4.6,119635KM,8.0,Automatic,4x4,04-May,Left wheel,Silver,12,
45810452,$20846,730,CHEVROLET,Orlando,2016,Jeep,Yes,Diesel,1.6,148101KM,4.0,Automatic,Front,04-May,Left wheel,Grey,4,
45794468,$37633,-,BMW,750,2010,Sedan,Yes,Petrol,4.4 Turbo,170000KM,8.0,Automatic,Rear,04-May,Left wheel,Black,12,
45776433,$20385,779,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.5,87000KM,6.0,Tiptronic,Front,04-May,Left wheel,Silver,0,
45770177,$9408,585,HYUNDAI,Elantra,2013,Jeep,Yes,Petrol,1.8,207606KM,4.0,Automatic,Front,04-May,Left wheel,Grey,12,
45784736,$17876,-,FORD,Fusion HIBRID,2010,Sedan,Yes,Hybrid,2.5,156000KM,4.0,Automatic,Front,04-May,Left wheel,White,4,
45809945,$23521,585,TOYOTA,Prius plagin,2013,Hatchback,No,Petrol,1.8 Turbo,152000KM,4.0,Automatic,Front,04-May,Left wheel,Silver,12,
45806573,$1646,836,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,2,172003KM,4.0,Automatic,Front,04-May,Left wheel,Blue,12,
44806340,$29793,1058,MERCEDES-BENZ,E 350,2012,Sedan,Yes,Petrol,3.5,56277KM,6.0,Tiptronic,4x4,04-May,Left wheel,White,12,
45802228,$35403,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,90000KM,4.0,Automatic,Front,04-May,Left wheel,Silver,4,
45777730,$5331,,BMW,318,1998,Sedan,Yes,Petrol,1.8,,4.0,Automatic,Rear,04-May,Right-hand drive,,5,
45771583,$7213,1077,SUBARU,Crosstrek,2019,Sedan,Yes,Petrol,2,6384KM,4.0,Automatic,4x4,04-May,Left wheel,Blue,12,
45249637,$18817,779,VOLKSWAGEN,Passat,2013,Sedan,Yes,Petrol,2.5,115000KM,10.0,Automatic,Front,04-May,Left wheel,Silver,12,
45812996,$157,1051,HYUNDAI,Sonata,2016,Sedan,Yes,Petrol,2.4,68941KM,4.0,Automatic,Front,04-May,Left wheel,Grey,12,
45790707,$12544,639,FORD,Focus,2014,Hatchback,No,Petrol,2,103318KM,4.0,Automatic,Front,04-May,Left wheel,Silver,0,
